family_id,region,city,address,family_members_count,children_count,average_income,has_social_support,housing_type,family_category,registration_date,last_update_date,contact_phone,email,has_disabled_member,has_elderly_member,children_under_7,children_7_18,working_members,education_level,health_status
FAM-97401,Актобе,South David,sdv-id-yIZDlK,1,0,289952.92,False,квартира,пенсионеры,2025-03-29,2025-06-17,8 073 683 3476,shelbydavidson@example.com,True,True,0,0,1,среднее специальное,удовлетворительное
FAM-11472,Тараз,Mcdonaldhaven,sdv-id-yoBQkv,2,2,163637.31,True,частный дом,многодетная,2023-12-24,2025-06-17,+7 273 991 90 41,mary40@example.org,True,True,1,2,0,высшее,плохое
FAM-11472,Тараз,East Kennethfurt,sdv-id-BiQTfw,5,3,372414.73,False,общежитие,малоимущая,2022-07-01,2025-06-17,+7 544 381 3405,tmercado@example.net,False,False,1,0,0,высшее,плохое
FAM-23362,Нур-Султан,Deckermouth,sdv-id-Gbcdpe,2,1,202393.57,True,квартира,пенсионеры,2022-11-03,2025-06-17,8 781 142 19 25,elee@example.net,False,True,1,0,0,начальное,плохое
FAM-21464,Тараз,Davidberg,sdv-id-iJYYAv,3,0,175574.3,True,квартира,инвалиды,2024-02-27,2025-03-05,84633471809,davidgreen@example.org,True,False,0,2,0,среднее,удовлетворительное
FAM-94624,Караганда,Port Kristyville,sdv-id-UqZOLc,3,1,233133.54,False,арендуемое жильё,малоимущая,2022-05-27,2025-06-17,8 263 795 0349,allison13@example.org,True,False,0,0,1,высшее,плохое
FAM-30201,Нур-Султан,West Kelseystad,sdv-id-tgDsbM,2,1,177333.44,True,арендуемое жильё,малоимущая,2024-10-22,2025-06-17,+7 (274) 345-5659,kevin30@example.org,True,True,0,0,0,среднее специальное,плохое
FAM-87181,Шымкент,Lake Samantha,sdv-id-aWHCHq,1,1,264785.75,True,общежитие,многодетная,2025-06-11,2025-06-15,8 (109) 312-0643,zdavis@example.org,True,True,1,0,0,среднее,плохое
FAM-58857,Алматы,South Ashleyborough,sdv-id-bpIBof,3,3,401373.16,False,частный дом,многодетная,2023-08-08,2025-06-17,8 (181) 700-43-98,uvelasquez@example.net,False,False,0,0,1,среднее специальное,хорошее
FAM-86923,Актобе,New Rosefurt,sdv-id-uWvgQh,5,0,166738.46,True,арендуемое жильё,малоимущая,2025-06-11,2025-06-17,+7 (020) 462-31-52,gonzalezjustin@example.org,False,True,0,0,3,среднее,отличное
FAM-79096,Павлодар,Brianhaven,sdv-id-Fyjbvc,6,1,352600.8,False,общежитие,обычная,2021-12-14,2025-06-17,+7 385 766 4737,shawnrogers@example.net,False,True,0,0,2,высшее,хорошее
FAM-28616,Алматы,Carriestad,sdv-id-oDXyZg,6,0,274444.48,True,частный дом,пенсионеры,2021-06-13,2025-06-17,+7 544 381 3405,galvanpatricia@example.org,False,True,0,0,1,высшее,отличное
FAM-38996,Тараз,South Eugene,sdv-id-FIPzQa,7,0,226663.41,True,частный дом,инвалиды,2023-01-18,2025-06-17,8 (615) 612-8997,ihahn@example.org,True,False,0,0,1,высшее,плохое
FAM-84102,Караганда,South Alan,sdv-id-IvWEPD,2,0,119030.07,True,частный дом,пенсионеры,2022-03-29,2025-06-17,+7 (745) 116-67-76,rortiz@example.com,True,True,1,0,0,высшее,удовлетворительное
FAM-62346,Алматы,Davisberg,sdv-id-XIObPH,8,4,85966.07,False,арендуемое жильё,многодетная,2025-04-20,2025-06-17,+7 526 518 8377,nicholasgibson@example.org,False,False,0,0,0,высшее,плохое
